,PCA1,PCA2,PCA3,PCA4,PCA5,PC6,PC7,PCA8,PCA9,PCA10,tipos_comprimidos
0,-0.02773339868980884,-0.04684501207467992,-0.058580726576560244,-0.14292586174893088,0.1272961676549429,0.16522131327953055,0.06496718881784459,-0.041112185190669476,-0.005515612356977183,-0.028758242081817913,12
1,0.3510537792051936,0.12999770335043165,-0.1498483502512469,-0.044269753032448345,-0.10378954193908424,-0.08369361265747305,-0.0293752655122874,-0.09386805507272858,0.11024865903732703,-0.05373341682409933,4
2,0.029140736043236016,0.15912285941601134,-0.024550145074763097,0.10616190443779476,-0.13935663021710543,0.02297321045278305,-0.023831768963250666,-0.1243330129053542,-0.11335372705096304,0.02909510159306539,14
3,0.006224534869885768,-0.14188817614188823,-0.021508871410030037,0.044018906136017166,-0.004976889096404769,0.01039553844931999,-0.05232427832579887,-0.06578549148931477,0.08823710032980765,-0.0470646190367194,0
4,-0.029365074617367627,-0.06002115318499623,-0.004130056391114766,0.04073925546443212,-0.015222196390078397,0.01596496502945444,-0.16090450772417647,0.014971611328999788,0.015341980876373252,-0.13790292658157383,8
5,-0.1556627244925125,0.07871392488340033,0.24529540792700963,0.1674467298753565,-0.0595265684096879,0.091985031313181,-0.1380375945468498,0.0554360852638243,0.08491527308348792,0.12466495241885771,6
6,-0.20297003722433804,0.26254474813702855,-0.08330317187907076,0.04424911568444994,0.09543364387958514,0.061166547474708746,-0.07804060787851098,0.09932446581739142,0.11597493394586848,0.011079268927337689,2
7,-0.03348636663138568,0.11411773364196495,-0.16022044683017536,0.08484786240103206,-0.24434114843097393,0.020786180488620794,0.1356178418283575,-0.09527433911304735,-0.06335929243629514,-0.045724545372347346,14
8,0.3795945100052669,0.14661410428301128,-0.14162164863112445,-0.02359953993404798,-0.07767901520456862,-0.0909868198931581,-0.017560427740439186,-0.10926081153863217,0.11846542927690822,-0.044155428982688,4
9,0.011732363343941357,-0.05188524357341932,0.05399605727967197,-0.15358182892426706,0.07039751245834029,-0.18874213749285979,0.13574644542336553,-0.08271516695331613,-0.009162080796811188,-0.06275256646026364,16
10,0.012648624072239338,-0.03584379737467655,0.260621800469357,0.09640831439981504,-0.07439049274146334,0.05285412911145334,0.07054283074755338,0.0412545447487,0.05368957177622269,0.13396245546979077,6
11,0.00710505937584008,0.07459207468971434,0.09708072567180548,-0.09689093772808378,0.1601527008291889,-0.0603953560580112,-0.05885036520342942,0.11155189564605572,-0.029263995875062166,-0.08448185401196423,8
